date,state,district,mandi,commodity,crop_category,is_perishable,min_price,max_price,modal_price,temperature,rainfall,humidity,day_of_week,month,day_of_year,heavy_rain_flag,weather_severity,price_lag_1,price_lag_3,price_lag_7,price_ma_7,price_ma_14,price_volatility_7,price_change_1d,price_change_7d
2025-01-25,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2798.13,3477.17,3042.36,24.76,2.27,80.3,5,1,25,0,0,3042.41,2714.02,3218.34,3149.057142857143,3136.2214285714285,227.0337725768486,-0.04999999999972715,-175.98000000000002
2025-01-26,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2483.94,3310.16,2951.38,35.45,6.58,61.83,6,1,26,0,0,3042.36,3203.0,3124.16,3123.917142857143,3133.8492857142855,227.82523716760647,-90.98000000000002,-172.77999999999975
2025-01-27,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2925.57,4253.36,3527.96,36.67,0.0,43.22,0,1,27,0,0,2951.38,3042.41,3402.54,3099.2342857142858,3116.2607142857146,236.97058002046995,576.5799999999999,125.42000000000007
2025-01-28,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2416.26,3302.24,2880.18,31.24,1.39,86.93,1,1,28,0,1,3527.96,3042.36,3338.93,3117.151428571429,3150.2364285714284,266.6128743095858,-647.7800000000002,-458.75
2025-01-29,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2876.9,3849.67,3229.08,28.88,4.72,60.89,2,1,29,0,0,2880.18,2951.38,2714.02,3051.6157142857146,3147.940714285714,259.29383678606365,348.9000000000001,515.06
2025-01-30,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2953.19,3760.26,3466.21,23.26,6.89,59.56,3,1,30,0,0,3229.08,3527.96,3203.0,3125.195714285714,3143.257857142857,217.18822649621558,237.1300000000001,263.21000000000004
2025-01-31,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2563.32,3093.92,2857.04,33.55,0.0,82.57,4,1,31,0,0,3466.21,2880.18,3042.41,3162.7971428571427,3151.3250000000003,252.77279605173035,-609.1700000000001,-185.3699999999999
2025-02-01,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2957.39,4033.09,3261.45,37.14,0.0,30.15,5,2,32,0,0,2857.04,3229.08,3042.36,3136.315714285714,3142.6864285714287,276.118942478125,404.40999999999985,219.0899999999997
2025-02-02,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2776.94,4203.05,3466.4,20.81,0.0,78.22,6,2,33,0,0,3261.45,3466.21,2951.38,3167.6142857142854,3145.7657142857142,276.11100774007224,204.95000000000027,515.02
2025-02-03,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2729.78,4191.38,3371.8,41.15,0.0,30.51,0,2,34,0,1,3466.4,2857.04,3527.96,3241.1885714285713,3170.2114285714283,277.50289478541686,-94.59999999999991,-156.15999999999985
2025-02-04,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2876.89,3686.29,3251.21,25.47,0.0,31.03,1,2,35,0,0,3371.8,3261.45,2880.18,3218.88,3168.015714285714,256.05498309282524,-120.59000000000015,371.0300000000002
2025-02-05,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2793.05,3970.46,3309.68,21.3,8.44,34.56,2,2,36,0,0,3251.21,3466.4,3229.08,3271.8842857142854,3161.75,208.18512793962634,58.4699999999998,80.59999999999991
2025-02-06,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2805.02,3778.76,3259.64,28.75,13.45,25.57,3,2,37,1,2,3309.68,3371.8,3466.21,3283.3985714285714,3204.2971428571427,207.6513675553801,-50.039999999999964,-206.57000000000016
2025-02-07,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2680.06,3670.93,3089.37,41.35,2.59,70.98,4,2,38,0,1,3259.64,3251.21,2857.04,3253.8885714285716,3208.342857142857,191.38230207524285,-170.26999999999998,232.32999999999993
2025-02-08,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2748.29,4086.28,3376.19,26.84,0.0,26.83,5,2,39,0,0,3089.37,3309.68,3261.45,3287.078571428571,3211.697142857143,116.64022482668469,286.82000000000016,114.74000000000024
2025-02-09,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2953.08,3571.99,3239.97,38.17,5.98,85.59,6,2,40,0,2,3376.19,3259.64,3466.4,3303.4700000000003,3235.542142857143,120.43872771386229,-136.22000000000025,-226.4300000000003
2025-02-10,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3008.35,4066.67,3400.76,27.02,8.85,47.14,0,2,41,0,0,3239.97,3089.37,3371.8,3271.122857142857,3256.155714285714,97.63420195032406,160.79000000000042,28.960000000000036
2025-02-11,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2702.73,3369.1,3081.76,36.02,3.73,40.75,1,2,42,0,0,3400.76,3376.19,3251.21,3275.2599999999998,3247.0699999999997,103.0733673975346,-319.0,-169.44999999999982
2025-02-12,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2555.24,3440.55,3006.12,40.14,0.0,75.33,2,2,43,0,1,3081.76,3239.97,3309.68,3251.052857142857,3261.468571428571,126.82445974841215,-75.64000000000033,-303.55999999999995
2025-02-13,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2934.18,3491.43,3216.0,32.8,8.86,75.94,3,2,44,0,0,3006.12,3400.76,3259.64,3207.6871428571426,3245.542857142857,152.69660984168317,209.8800000000001,-43.63999999999987
2025-02-14,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2861.31,3771.06,3346.83,26.86,2.24,76.61,4,2,45,0,0,3216.0,3081.76,3089.37,3201.452857142857,3227.6707142857144,151.10452670412144,130.82999999999993,257.46000000000004
2025-02-15,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2911.24,4112.44,3336.95,21.49,5.13,84.28,5,2,46,0,0,3346.83,3006.12,3376.19,3238.2328571428575,3262.6557142857137,150.60878457273517,-9.88000000000011,-39.24000000000024
2025-02-16,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3000.21,3669.7,3326.94,38.62,0.0,49.03,6,2,47,0,1,3336.95,3216.0,3239.97,3232.6271428571426,3268.0485714285714,145.25320922608404,-10.009999999999764,86.97000000000025
2025-02-17,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2727.1,3396.03,3092.55,24.66,0.66,41.99,0,2,48,0,0,3326.94,3346.83,3400.76,3245.0514285714285,3258.087142857143,149.63924735048425,-234.38999999999987,-308.21000000000004
2025-02-18,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2511.41,3548.09,3126.01,28.47,5.73,77.25,1,2,49,0,0,3092.55,3336.95,3081.76,3201.0214285714283,3238.1407142857142,141.2990129039102,33.460000000000036,44.25
2025-02-19,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2950.31,4340.35,3548.2,39.17,5.38,54.62,2,2,50,0,1,3126.01,3326.94,3006.12,3207.342857142857,3229.1978571428567,135.96333399294284,422.1899999999996,542.0799999999999
2025-02-20,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2655.61,3268.31,2951.16,32.91,0.0,43.72,3,2,51,0,0,3548.2,3092.55,3216.0,3284.782857142857,3246.235,155.25809025772696,-597.04,-264.84000000000015
2025-02-21,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2912.89,3907.26,3284.17,31.96,0.0,54.67,4,2,52,0,0,2951.16,3126.01,3346.83,3246.948571428572,3224.200714285714,200.4925371369702,333.0100000000002,-62.659999999999854
2025-02-22,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2633.95,4002.05,3290.36,41.02,4.82,51.39,5,2,53,0,1,3284.17,3548.2,3336.95,3237.997142857143,3238.1150000000002,196.65188495700517,6.190000000000055,-46.58999999999969
2025-02-23,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3023.52,4266.21,3542.08,26.07,12.91,58.69,6,2,54,1,2,3290.36,2951.16,3326.94,3231.3414285714284,3231.9842857142858,193.50792158019283,251.7199999999998,215.13999999999987
2025-02-24,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2762.51,3365.7,3077.68,30.78,1.3,31.82,0,2,55,0,0,3542.08,3284.17,3092.55,3262.075714285714,3253.5635714285713,225.63949601500414,-464.4000000000001,-14.870000000000346
2025-02-25,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2697.22,4052.27,3277.02,32.45,0.0,78.36,1,2,56,0,0,3077.68,3290.36,3126.01,3259.9514285714286,3230.486428571429,227.5632939373558,199.34000000000015,151.00999999999976
2025-02-26,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2739.09,3746.62,3316.98,26.03,1.52,68.73,2,2,57,0,0,3277.02,3542.08,3548.2,3281.5242857142853,3244.433571428571,219.77398586253355,39.960000000000036,-231.2199999999998
2025-02-27,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2778.33,4234.55,3413.11,25.81,10.14,59.01,3,2,58,1,2,3316.98,3077.68,2951.16,3248.492857142857,3266.6378571428572,188.10780302035116,96.13000000000011,461.9500000000003
2025-02-28,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2698.21,4015.56,3329.76,36.19,0.0,84.93,4,2,59,0,0,3413.11,3277.02,3284.17,3314.485714285714,3280.717142857143,141.72382108137302,-83.34999999999991,45.590000000000146
2025-03-01,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2707.12,3727.39,3124.56,29.37,14.25,43.43,5,3,60,1,2,3329.76,3316.98,3290.36,3320.9985714285717,3279.4978571428574,141.14483630046826,-205.20000000000027,-165.80000000000018
2025-03-02,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3127.28,3996.23,3475.52,40.53,4.4,32.12,6,3,61,0,1,3124.56,3413.11,3542.08,3297.312857142857,3264.327142857143,159.8194229658684,350.96000000000004,-66.55999999999995
2025-03-03,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2652.23,3561.38,3285.44,23.69,11.67,47.56,0,3,62,1,2,3475.52,3329.76,3077.68,3287.804285714286,3274.9399999999996,144.02975894552162,-190.07999999999993,207.76000000000022
2025-03-04,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2689.17,3904.85,3289.53,20.06,0.0,83.67,1,3,63,0,0,3285.44,3124.56,3277.02,3317.484285714286,3288.717857142857,111.17140397559541,4.0900000000001455,12.510000000000218
2025-03-05,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2700.51,3867.23,3368.82,29.3,0.0,33.66,2,3,64,0,0,3289.53,3475.52,3316.98,3319.2714285714287,3300.397857142857,110.51109513356255,79.28999999999996,51.840000000000146
2025-03-06,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2707.7,4003.99,3372.24,32.22,10.06,59.65,3,3,65,1,2,3368.82,3285.44,3413.11,3326.6771428571433,3287.585,112.05810318971339,3.419999999999618,-40.870000000000346
2025-03-07,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2567.13,3615.85,3025.47,34.78,0.0,84.33,4,3,66,0,0,3372.24,3289.53,3329.76,3320.838571428572,3317.6621428571425,107.78746346840454,-346.77,-304.2900000000004
2025-03-08,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3098.47,4201.74,3484.74,23.68,0.0,39.47,5,3,67,0,0,3025.47,3368.82,3124.56,3277.368571428571,3299.183571428571,154.72790013747593,459.27,360.17999999999984
2025-03-09,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3030.96,3949.26,3406.28,20.09,4.5,88.93,6,3,68,0,1,3484.74,3372.24,3475.52,3328.8228571428576,3313.067857142857,155.3297480324029,-78.45999999999958,-69.23999999999978
2025-03-10,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3185.05,3836.83,3494.04,39.18,0.0,64.67,0,3,69,0,1,3406.28,3025.47,3285.44,3318.9314285714286,3303.3678571428572,146.37774107067185,87.75999999999976,208.5999999999999
2025-03-11,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2370.67,3545.51,2876.85,26.83,4.38,38.53,1,3,70,0,0,3494.04,3484.74,3289.53,3348.7314285714283,3333.1078571428566,159.10359019923453,-617.19,-412.6800000000003
2025-03-12,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2527.68,3525.61,3055.93,36.19,7.61,62.43,2,3,71,0,0,2876.85,3406.28,3368.82,3289.7771428571427,3304.524285714286,240.38917520791802,179.07999999999993,-312.8900000000003
2025-03-13,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2846.57,3763.17,3332.81,31.12,0.22,70.45,3,3,72,0,0,3055.93,3494.04,3372.24,3245.078571428571,3285.877857142857,252.0491718844148,276.8800000000001,-39.429999999999836
2025-03-14,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2984.08,4023.33,3466.68,20.9,0.0,48.98,4,3,73,0,0,3332.81,2876.85,3025.47,3239.445714285714,3280.1421428571425,249.15770821290076,133.8699999999999,441.21000000000004
2025-03-15,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2731.92,4065.0,3308.21,18.9,4.69,80.87,5,3,74,0,0,3466.68,3055.93,3484.74,3302.4757142857147,3289.922142857143,241.70151336287697,-158.4699999999998,-176.52999999999975
2025-03-16,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2791.44,3987.71,3391.52,31.9,0.0,66.91,6,3,75,0,0,3308.21,3332.81,3406.28,3277.2571428571428,3303.04,228.35590173486452,83.30999999999995,-14.760000000000218
2025-03-17,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2912.29,3617.16,3261.49,26.15,11.26,34.79,0,3,76,1,2,3391.52,3466.68,3494.04,3275.1485714285714,3297.04,227.0302797300086,-130.0300000000002,-232.55000000000018
2025-03-18,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3229.26,3992.82,3513.5,37.98,0.0,86.22,1,3,77,0,1,3261.49,3308.21,2876.85,3241.9271428571424,3295.3292857142856,205.6712357715822,252.01000000000022,636.6500000000001
2025-03-19,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3232.77,4003.51,3593.4,37.39,6.53,28.68,2,3,78,0,0,3513.5,3391.52,3055.93,3332.8771428571426,3311.327142857143,150.7598102628031,79.90000000000009,537.4700000000003
2025-03-20,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2922.32,4038.11,3439.94,41.76,5.16,55.83,3,3,79,0,1,3593.4,3261.49,3332.81,3409.6585714285716,3327.368571428571,119.91375170354397,-153.46000000000004,107.13000000000011
2025-03-21,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2566.99,3916.77,3146.97,18.35,11.03,84.38,4,3,80,1,2,3439.94,3513.5,3466.68,3424.962857142857,3332.2042857142856,115.21542210345078,-292.97000000000025,-319.71000000000004
2025-03-22,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2825.02,4239.82,3525.68,38.8,3.47,81.27,5,3,81,0,1,3146.97,3593.4,3308.21,3379.29,3340.882857142857,153.07144323267315,378.71000000000004,217.4699999999998
2025-03-23,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2790.14,4191.68,3399.29,20.06,1.45,29.31,6,3,82,0,0,3525.68,3439.94,3391.52,3410.3571428571427,3343.807142857143,158.22278309547056,-126.38999999999987,7.769999999999982
2025-03-24,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2605.36,3618.2,3254.01,38.51,5.21,44.03,0,3,83,0,1,3399.29,3146.97,3261.49,3411.4671428571423,3343.307857142857,158.09581142609792,-145.27999999999975,-7.479999999999563
2025-03-25,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2630.4,3917.69,3214.03,35.08,2.9,74.05,1,3,84,0,0,3254.01,3525.68,3513.5,3410.3985714285714,3326.162857142857,159.29915729308124,-39.98000000000002,-299.4699999999998
2025-03-26,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3068.28,3895.25,3375.44,36.11,4.31,85.73,2,3,85,0,1,3214.03,3399.29,3593.4,3367.617142857143,3350.247142857143,167.02109943699645,161.40999999999985,-217.96000000000004
2025-03-27,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3099.67,4384.57,3527.96,25.11,4.42,70.54,3,3,86,0,0,3375.44,3254.01,3439.94,3336.48,3373.0692857142853,135.19919427767897,152.51999999999998,88.01999999999998
2025-03-28,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2817.8,4176.03,3483.88,37.33,0.0,76.84,4,3,87,0,0,3527.96,3214.03,3146.97,3349.054285714286,3387.008571428571,149.73685973034495,-44.07999999999993,336.9100000000003
2025-03-29,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2813.13,3728.83,3442.31,20.55,2.45,36.79,5,3,88,0,0,3483.88,3375.44,3525.68,3397.184285714286,3388.2371428571428,126.26110470728872,-41.570000000000164,-83.36999999999989
2025-03-30,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3068.06,3861.35,3426.64,28.3,0.0,25.1,6,3,89,0,0,3442.31,3527.96,3399.29,3385.2742857142853,3397.815714285714,115.60236745804534,-15.670000000000073,27.34999999999991
2025-03-31,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3026.65,4386.32,3567.08,20.58,3.5,73.69,0,3,90,0,0,3426.64,3483.88,3254.01,3389.181428571428,3400.324285714286,116.61279652887966,140.44000000000005,313.0699999999997
2025-04-01,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2955.42,3787.66,3225.93,20.76,0.0,38.08,1,4,91,0,0,3567.08,3442.31,3214.03,3433.905714285714,3422.1521428571427,116.16512698986547,-341.1500000000001,11.899999999999636
2025-04-02,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2985.88,3848.72,3522.47,40.71,1.49,72.6,2,4,92,0,1,3225.93,3426.64,3375.44,3435.6057142857144,3401.6114285714284,112.43839674197129,296.53999999999996,147.02999999999975
2025-04-03,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3046.91,3928.8,3358.99,20.71,0.81,65.98,3,4,93,0,0,3522.47,3567.08,3527.96,3456.6099999999997,3396.5450000000005,113.05720469449736,-163.48000000000002,-168.97000000000025
2025-04-04,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2869.24,3861.67,3541.6,21.14,4.89,36.5,4,4,94,0,0,3358.99,3225.93,3483.88,3432.4714285714285,3390.7628571428572,113.32235487442847,182.61000000000013,57.7199999999998
2025-04-05,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2531.96,3625.4,3145.57,40.28,0.0,31.41,5,4,95,0,1,3541.6,3522.47,3442.31,3440.7171428571423,3418.950714285714,119.6118708872285,-396.02999999999975,-296.7399999999998
2025-04-06,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2744.37,4104.65,3359.62,34.3,0.0,70.01,6,4,96,0,0,3145.57,3358.99,3426.64,3398.325714285714,3391.7999999999997,163.4890741361789,214.04999999999973,-67.01999999999998
2025-04-07,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2477.95,3294.35,2969.34,25.5,0.0,53.15,0,4,97,0,0,3359.62,3541.6,3567.08,3388.7514285714287,3388.9664285714284,163.51698641920754,-390.27999999999975,-597.7399999999998
2025-04-08,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2678.49,3761.25,3307.44,38.3,0.0,36.91,1,4,98,0,1,2969.34,3145.57,3225.93,3303.36,3368.632857142857,205.54392215128544,338.0999999999999,81.51000000000022
2025-04-09,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2815.42,4284.15,3486.54,30.89,0.0,44.59,2,4,99,0,0,3307.44,3359.62,3522.47,3315.0042857142857,3375.305,202.7157037871144,179.0999999999999,-35.929999999999836
2025-04-10,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2789.72,3729.19,3216.9,39.22,6.77,39.92,3,4,100,0,1,3486.54,2969.34,3358.99,3309.871428571428,3383.2407142857146,196.96023053978706,-269.6399999999999,-142.0899999999997
2025-04-11,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2596.16,3738.56,3234.76,22.88,0.0,80.48,4,4,101,0,0,3216.9,3307.44,3541.6,3289.5728571428576,3361.022142857143,198.371210504809,17.860000000000127,-306.8399999999997
2025-04-12,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2667.71,3764.19,3231.33,29.18,4.68,76.96,5,4,102,0,0,3234.76,3486.54,3145.57,3245.7385714285715,3343.2278571428574,164.3895167408377,-3.430000000000291,85.75999999999976
2025-04-13,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2763.59,3656.17,3307.05,40.68,0.0,48.02,6,4,103,0,1,3231.33,3216.9,3359.62,3257.9900000000002,3328.157857142857,158.78006854346393,75.72000000000025,-52.56999999999971
2025-04-14,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3150.24,4091.48,3438.08,34.66,4.25,33.33,0,4,104,0,0,3307.05,3234.76,2969.34,3250.48,3319.6157142857146,154.3535373744329,131.02999999999975,468.7399999999998
2025-04-15,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2556.77,3898.13,3122.53,30.49,2.57,38.78,1,4,105,0,0,3438.08,3231.33,3307.44,3317.442857142857,3310.401428571429,106.23556979880418,-315.5499999999997,-184.90999999999985
2025-04-16,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2775.07,3679.86,3114.55,24.11,9.02,85.09,2,4,106,0,1,3122.53,3307.05,3486.54,3291.027142857143,3303.0157142857142,129.56492114178363,-7.980000000000018,-371.9899999999998
2025-04-17,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2880.24,4104.03,3568.46,39.62,0.27,89.47,3,4,107,0,2,3114.55,3438.08,3216.9,3237.8857142857146,3273.878571428571,110.96038134655038,453.90999999999985,351.55999999999995
2025-04-18,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2879.87,3988.71,3536.83,23.81,0.0,50.04,4,4,108,0,0,3568.46,3122.53,3234.76,3288.108571428572,3288.8407142857145,165.8593017619235,-31.63000000000011,302.0699999999997
2025-04-19,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2824.56,3984.77,3318.15,21.27,0.0,47.79,5,4,109,0,0,3536.83,3114.55,3231.33,3331.261428571429,3288.5,187.54419180809828,-218.67999999999984,86.82000000000016
2025-04-20,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2992.19,3929.17,3336.97,37.26,2.4,25.65,6,4,110,0,0,3318.15,3568.46,3307.05,3343.6642857142856,3300.827142857143,182.64069753271986,18.81999999999971,29.919999999999618
2025-04-21,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2746.35,3661.31,3338.91,39.58,1.46,71.21,0,4,111,0,1,3336.97,3536.83,3438.08,3347.9385714285713,3299.2092857142857,181.98995727132694,1.9400000000000546,-99.17000000000007
2025-04-22,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2837.82,4034.36,3360.19,35.83,9.53,25.58,1,4,112,0,0,3338.91,3318.15,3122.53,3333.7714285714287,3325.6071428571427,177.61059919841335,21.2800000000002,237.65999999999985
2025-04-23,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2441.95,3459.21,2973.1,39.12,13.53,87.78,2,4,113,1,4,3360.19,3336.97,3114.55,3367.722857142857,3329.375,151.26095163814279,-387.09000000000015,-141.45000000000027
2025-04-24,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2989.17,3822.91,3269.6,28.79,1.53,69.3,3,4,114,0,0,2973.1,3338.91,3568.46,3347.5157142857142,3292.700714285714,194.10120056791294,296.5,-298.8600000000001
