date,state,district,mandi,commodity,crop_category,is_perishable,min_price,max_price,modal_price,temperature,rainfall,humidity
2025-02-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1537.12,2184.16,1893.87,28.17,5.08,55.36
2025-02-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1743.21,2346.18,1964.2,41.62,7.81,31.4
2025-02-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1595.24,2139.39,1880.49,38.68,0.03,41.16
2025-02-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1576.95,2215.98,1916.5,28.13,0.0,43.11
2025-02-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1654.42,2465.66,1993.33,28.64,3.57,80.99
2025-02-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1701.2,2138.39,1964.35,41.98,0.59,79.34
2025-02-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1661.52,2243.97,1813.33,38.37,0.0,35.81
2025-02-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1657.79,2156.24,1931.53,27.62,0.0,28.81
2025-02-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1651.58,2436.9,1953.43,24.36,4.42,75.96
2025-02-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1860.3,2507.48,2176.8,40.98,3.05,89.7
2025-02-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1736.08,2407.99,2003.11,21.72,1.55,44.29
2025-02-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1621.95,2086.12,1770.21,31.01,1.84,73.62
2025-02-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1602.45,2342.15,1986.04,30.07,16.78,80.43
2025-02-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1605.68,2437.92,1960.8,19.92,3.81,37.08
2025-02-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1725.22,2365.45,1979.81,23.64,0.0,32.79
2025-03-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1912.44,2365.9,2108.92,32.27,6.51,65.26
2025-03-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1762.52,2444.3,2072.8,30.55,0.0,85.76
2025-03-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1765.03,2572.59,2140.69,23.73,0.0,50.73
2025-03-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1809.06,2323.46,2054.34,25.59,15.14,73.87
2025-03-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1524.97,2183.46,1885.69,41.96,0.0,89.75
2025-03-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1621.69,2238.15,2005.08,24.36,0.0,85.66
2025-03-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1656.03,2248.03,1828.44,26.87,2.41,35.25
2025-03-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1694.54,2258.52,1882.72,32.68,4.84,89.17
2025-03-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1668.78,2054.13,1899.63,37.61,11.3,44.46
2025-03-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1685.11,2374.81,1915.76,21.22,0.07,32.5
2025-03-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1698.49,2453.25,2089.57,24.54,0.0,64.31
2025-03-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1796.66,2259.96,2027.57,33.22,9.84,42.16
2025-03-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1571.83,2258.84,1830.64,38.31,3.11,31.0
2025-03-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1730.16,2291.82,2033.5,18.09,6.69,75.12
2025-03-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1641.56,2106.2,1872.96,35.79,0.0,60.86
2025-03-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1757.11,2232.48,2063.97,19.81,3.78,82.4
2025-03-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1849.33,2387.31,2035.65,38.03,4.08,62.86
2025-03-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1583.28,2132.93,1936.09,25.4,3.39,83.43
2025-03-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1828.73,2504.21,2042.06,39.57,0.0,38.65
2025-03-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1836.43,2428.4,2212.72,36.72,4.84,82.47
2025-03-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1598.48,2232.68,1883.3,21.71,5.94,85.44
2025-03-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1723.8,2376.51,1907.38,37.46,6.72,82.29
2025-03-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1717.08,2577.23,2138.4,25.97,0.0,85.5
2025-03-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1898.18,2598.4,2117.87,37.46,4.48,42.34
2025-03-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1881.19,2310.0,2103.1,38.93,13.38,80.81
2025-03-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1643.67,2423.32,1988.25,29.05,0.0,44.84
2025-03-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1718.4,2146.83,1919.05,18.57,0.0,37.55
2025-03-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1684.74,2462.59,2007.1,41.21,4.05,43.14
2025-03-29,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1793.9,2348.17,2045.54,41.55,6.96,59.85
2025-03-30,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1841.15,2218.18,2017.24,41.29,10.72,36.61
2025-03-31,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1819.44,2236.04,1987.37,20.6,18.32,53.25
2025-04-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1849.01,2361.36,2083.57,32.55,0.0,58.24
2025-04-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1608.1,2238.62,1900.33,24.11,4.89,71.07
2025-04-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1593.82,2464.51,1991.77,30.92,6.28,71.76
2025-04-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1837.52,2467.85,2066.87,26.74,1.56,29.55
2025-04-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1692.64,2186.03,1924.1,25.53,0.0,80.12
2025-04-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1743.54,2224.85,1967.05,25.42,7.14,51.55
2025-04-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1728.87,2303.55,2038.06,21.05,0.0,52.33
2025-04-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1856.04,2430.02,2033.25,39.67,4.31,65.01
2025-04-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1604.19,2250.83,1918.62,18.01,2.92,43.65
2025-04-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1720.07,2380.58,2019.84,33.71,0.0,55.22
2025-04-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1750.14,2290.27,2051.61,29.36,5.36,83.58
2025-04-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1906.82,2361.05,2129.28,20.04,8.32,58.5
2025-04-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1631.73,2117.98,1862.81,37.64,0.0,73.82
2025-04-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1819.99,2310.67,2066.44,22.78,5.08,26.59
2025-04-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1713.17,2397.7,2065.6,38.39,25.12,29.73
2025-04-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1759.57,2458.08,2070.73,22.67,8.81,70.26
2025-04-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1814.16,2367.6,2111.14,33.75,5.91,25.36
2025-04-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1756.23,2389.16,1973.03,20.56,6.55,52.63
2025-04-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1578.6,2389.42,1922.53,30.43,0.58,28.26
2025-04-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1620.33,2390.19,1952.43,28.96,2.49,77.09
2025-04-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1983.43,2812.39,2253.62,32.29,0.0,86.75
2025-04-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1883.31,2458.87,2076.48,35.26,0.0,57.81
2025-04-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1754.41,2287.7,1950.07,39.53,8.53,73.34
2025-04-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1719.57,2255.53,2006.59,23.93,0.0,66.45
2025-04-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1713.29,2244.86,1920.95,33.04,6.08,42.85
2025-04-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1552.08,2164.39,1917.81,24.52,3.3,45.78
2025-04-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1729.68,2207.1,2000.05,23.55,0.0,70.11
2025-04-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1968.66,2427.35,2225.05,27.78,5.8,60.27
2025-04-29,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1506.95,1977.3,1773.1,28.08,3.12,83.81
2025-04-30,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1669.36,2298.95,1918.61,38.56,7.11,74.76
2025-05-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1609.01,2056.82,1902.7,26.44,1.31,73.98
2025-05-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1841.81,2535.06,2040.98,28.06,7.19,73.59
2025-05-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1605.48,2193.52,1854.9,23.29,0.0,39.26
2025-05-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1646.03,2095.31,1931.28,26.07,0.0,69.14
2025-05-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1842.33,2405.85,2171.23,29.22,4.43,33.3
2025-05-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1611.42,1998.15,1842.32,27.46,7.51,61.69
2025-05-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1771.63,2623.01,2205.57,21.26,8.19,55.01
2025-05-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1459.01,2071.57,1810.11,23.08,0.0,46.24
2025-05-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1879.68,2413.42,2108.8,36.05,0.0,79.08
2025-05-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1675.19,2207.14,2017.63,18.47,6.65,60.06
2025-05-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1717.86,2127.74,1867.27,33.6,1.64,75.78
2025-05-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1418.26,1951.21,1614.94,40.79,0.0,37.96
2025-05-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1552.97,2140.26,1935.3,21.03,0.0,68.51
2025-05-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1853.71,2386.48,2136.4,34.79,0.0,74.85
2025-05-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1566.51,2260.04,1910.06,35.95,2.78,32.44
2025-05-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1896.05,2625.69,2110.68,20.59,0.0,26.67
2025-05-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1740.21,2483.55,2078.03,41.0,2.06,50.78
2025-05-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1633.19,2015.07,1843.75,34.57,4.77,65.77
2025-05-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1598.91,2384.54,1968.55,38.41,0.0,64.03
2025-05-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1589.83,2434.44,1951.84,36.78,0.0,47.57
2025-05-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1663.45,2233.16,1953.77,30.14,5.97,47.18
2025-05-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1903.09,2573.74,2109.97,20.53,0.0,87.45
2025-05-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1898.16,2644.65,2166.18,34.98,0.0,53.31
2025-05-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1701.97,2384.39,1916.51,24.48,5.53,77.53
2025-05-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1694.84,2278.25,1960.3,28.45,0.0,72.52
2025-05-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1584.93,2332.6,1904.48,37.94,0.0,30.63
2025-05-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1685.04,2086.23,1860.28,29.15,7.1,64.67
2025-05-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1656.66,2125.74,1959.43,38.42,0.0,36.82
2025-05-29,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1663.23,2449.41,2014.93,26.17,3.84,82.22
2025-05-30,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1770.43,2256.67,2002.43,18.24,5.78,86.62
2025-05-31,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1476.27,2190.72,1821.94,29.73,0.0,74.28
2025-06-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1756.01,2366.49,1988.98,29.78,5.66,76.54
2025-06-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1543.47,2126.68,1902.78,34.6,2.7,44.9
2025-06-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1774.15,2367.05,2039.76,30.74,0.0,52.66
2025-06-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1741.28,2224.25,1957.56,34.87,0.79,42.61
2025-06-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1553.78,2059.76,1871.64,22.62,8.59,32.77
2025-06-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1712.14,2396.1,1980.95,22.44,6.88,39.07
2025-06-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1741.45,2441.75,2029.41,41.44,2.13,59.1
2025-06-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1633.45,2148.83,1958.67,22.66,0.14,39.79
2025-06-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1574.55,2074.53,1916.59,30.82,1.22,42.83
2025-06-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1731.69,2217.36,1888.61,34.74,5.57,33.21
2025-06-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1615.19,2078.25,1786.28,38.95,14.55,62.31
2025-06-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1509.28,2035.48,1762.5,22.42,0.0,28.34
2025-06-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1819.2,2313.96,1992.71,37.73,6.75,51.05
2025-06-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1562.37,2292.7,1931.49,19.29,5.77,34.7
2025-06-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1612.94,2103.98,1859.21,41.85,0.0,32.7
2025-06-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1663.21,2206.6,1865.14,36.98,0.0,39.67
2025-06-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1689.76,2265.37,1958.67,28.63,1.12,80.91
2025-06-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1617.64,1992.84,1760.59,32.9,0.07,64.63
2025-06-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1680.49,2346.55,1890.72,22.99,0.0,38.72
2025-06-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1541.93,1940.8,1753.68,22.17,3.46,29.88
2025-06-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1492.83,2157.36,1865.29,32.25,0.0,43.93
2025-06-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1477.0,2141.48,1784.29,34.87,3.39,54.51
2025-06-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1478.25,2072.21,1675.1,36.91,0.0,65.63
2025-06-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1539.04,2168.04,1750.22,28.2,0.72,60.4
2025-06-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1630.53,2293.2,1857.7,37.84,10.85,29.64
2025-06-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1568.53,2166.13,1913.05,35.97,1.04,62.0
2025-06-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1514.58,1998.2,1814.66,34.53,0.0,70.48
2025-06-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1653.67,2109.97,1811.01,29.85,0.27,30.23
2025-06-29,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1484.14,2127.12,1844.15,25.74,0.0,41.27
2025-06-30,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1509.74,2315.03,1861.67,38.06,11.2,62.39
2025-07-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1636.33,2237.51,1790.11,34.13,4.41,42.52
2025-07-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1507.18,2263.25,1872.68,29.29,0.0,67.35
2025-07-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1654.82,2020.23,1818.63,32.05,2.08,66.26
2025-07-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1547.29,1973.3,1801.26,26.35,0.0,46.67
2025-07-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1575.63,2193.77,1789.64,25.92,4.99,70.09
2025-07-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1619.1,2406.93,1940.01,37.53,7.76,60.76
2025-07-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1719.52,2280.68,2012.12,25.76,0.0,88.06
2025-07-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1586.78,2183.3,1870.09,41.71,3.1,67.75
2025-07-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1737.74,2310.5,2008.69,22.5,0.0,48.52
2025-07-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1494.55,1990.43,1677.82,36.24,0.0,38.23
2025-07-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1329.56,1900.44,1535.45,28.51,0.0,70.39
2025-07-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1367.81,2091.31,1679.18,32.61,2.9,40.55
2025-07-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1469.65,2106.02,1794.43,31.25,13.26,31.06
2025-07-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1706.28,2293.18,1856.53,29.07,0.0,32.64
2025-07-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1487.67,1925.55,1653.23,35.2,4.95,58.08
2025-07-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1335.88,1960.0,1604.06,41.53,12.99,40.84
2025-07-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1620.07,2142.03,1870.43,40.12,0.0,58.04
2025-07-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1407.59,1907.13,1554.45,24.63,10.12,76.35
2025-07-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1464.65,2135.16,1723.54,30.19,9.43,78.34
2025-07-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1301.09,1764.17,1560.17,32.09,0.0,89.93
